UUID Solr;UUID Elastic;UUID Manticore;Wszystkie;Wszystkie (bez duplikatów);Relewantny globalnie;Rel w Solr;Rel w Elast;Rel W Mant;;TP Solr;FP Solr;FN Solr;TN Solr;;TP Elastic;FP Elastic;FN Elastic;TN Elastic;;TP Manticore;FP Manti;FN Manti;TN Manti;;;;;;;;;;
b80b381a43ae7a225cde1ddc3126be7acb6bae74;b28948b76420ccb31005122ca804e7f365c6e6a2; 046c4b25cf612675f66c5ab8ecf97b6c116f8efa;b80b381a43ae7a225cde1ddc3126be7acb6bae74;b80b381a43ae7a225cde1ddc3126be7acb6bae74;TRUE;TRUE;TRUE;FALSE;;TRUE;FALSE;FALSE;FALSE;;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;
41bfd970602fb6e10172658483227ea53b3e7699;ebf019429a44343748d53750ed50f425a9fcba94; 25eb2ae82e0096ae48911474a1778dfd777f4ab3;41bfd970602fb6e10172658483227ea53b3e7699;41bfd970602fb6e10172658483227ea53b3e7699;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
c93fc4cbaf0abfe1cb7bc04d706822480b8a098b;b5db6b7f4c52e84fba1128eff78c069ce7fe5742; 6cd6b4a0d01fc8de9e0b8b6b38e7110a668cf7c8;c93fc4cbaf0abfe1cb7bc04d706822480b8a098b;c93fc4cbaf0abfe1cb7bc04d706822480b8a098b;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
2ef1f5a8852d7c2cada7b47c6c1a44ac6b91ba2e;00da652274fe43816b18bb974f58d789d2bc094f; d84bf66f4fb36cae4b638873af910d1b948e6ef2;2ef1f5a8852d7c2cada7b47c6c1a44ac6b91ba2e;2ef1f5a8852d7c2cada7b47c6c1a44ac6b91ba2e;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
fac3f8422b326c2d76641aa821b668789245b815;9d3e06660859ccedf1329403ecf294e4d8105822; fcfef6327a65ba0ea3daa9404b4a2bd75c55806a;fac3f8422b326c2d76641aa821b668789245b815;fac3f8422b326c2d76641aa821b668789245b815;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
5b573e1038be021e991a07fb2aceeee16a738173;8032b49b56e9d3a480d73beaebb565f4443c643c; 99475a1a1d469b859ebac5f341f5ced5ed638d2e;5b573e1038be021e991a07fb2aceeee16a738173;5b573e1038be021e991a07fb2aceeee16a738173;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
1c314671b2f76d1a5c48400d499a06dd79be5f21;3b79c8ed30618626c0b322cbb8dc1633107344ed; 1b0ae96dc3dd50ef50d00d50116c77aabf7af395;1c314671b2f76d1a5c48400d499a06dd79be5f21;1c314671b2f76d1a5c48400d499a06dd79be5f21;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
ea266fce493baf8c7c8c8fbc74c465fbd0060b58;b3d592c86b286386b00ee2c0beb99d6ef533c8ce; 52db5f0b9e8d7a90a60b2a8e8658c6ac36f02b32;ea266fce493baf8c7c8c8fbc74c465fbd0060b58;ea266fce493baf8c7c8c8fbc74c465fbd0060b58;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
804ed78b79adff04fb55d79f00c9cae96bb5f1f7;2f88905904bbd0f30a5fcc9421e46930505ebcc3; 65d0fa6478685d9c2ac16206f8814b427d77b752;804ed78b79adff04fb55d79f00c9cae96bb5f1f7;804ed78b79adff04fb55d79f00c9cae96bb5f1f7;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
3450da327f8fb413d63088e7f85c5cdaffe23f54;9157432983cbec80e658e960e7e8ed704b9307bb; 4f7f9f635d0d99ca08d49da2ef843dea573a4561;3450da327f8fb413d63088e7f85c5cdaffe23f54;3450da327f8fb413d63088e7f85c5cdaffe23f54;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
