Iteration;Rows;Total rows;Time;Total time;Memory [GiB];Memory Percent [%];CPU [%]
0;0;0;0;0;0,70;0,18;70
1;15000;15000;15746;15746;1,35;0,34;370
2;15000;30000;10462;26208;1,46;0,37;180
3;15000;45000;10564;36772;1,54;0,39;179
4;15000;60000;9570;46342;1,78;0,45;205
5;15000;75000;9655;55997;1,95;0,49;216,8
6;15000;90000;9439;65436;2,26;0,57;113,65
7;15000;105000;25405;90841;2,68;0,67;211,3
8;15000;120000;9499;100340;2,27;0,57;107,25
9;15000;135000;13545;113885;2,28;0,57;208,84
10;15000;150000;10730;124615;2,28;0,57;107,26
11;15000;165000;10331;134946;2,28;0,57;101
12;15000;180000;10731;145677;2,37;0,59;184,14
13;15000;195000;10771;156448;2,39;0,60;218,17
14;15000;210000;24003;180451;2,39;0,60;103,57
15;15000;225000;8716;189167;2,39;0,60;208,14
16;15000;240000;10603;199770;2,39;0,60;109
17;15000;255000;11111;210881;2,39;0,60;104
18;15000;270000;10619;221500;2,39;0,60;103
19;15000;285000;9664;231164;2,39;0,60;109
20;15000;300000;9795;240959;2,39;0,60;105
21;6241;306241;4284;245243;2,39;0,60;114
