Iteration;Rows;Total rows;Time;Total time;Memory [GiB];Memory Percent [%];CPU [%]
0;0;0;0;0;5,32;0,92;38,00
1;15000;15000;8970;8970;5,32;0,92;236,00
2;15000;30000;8550;17520;5,36;0,93;184
3;15000;45000;8783;26303;5,36;0,93;153
4;15000;60000;9339;35642;5,36;0,93;137
5;15000;75000;9636;45278;5,37;0,93;134
6;15000;90000;9691;54969;5,38;0,93;130
7;15000;105000;9787;64756;5,38;0,93;127,5
8;15000;120000;10530;75286;5,38;0,93;109
9;15000;135000;10027;85313;5,38;0,93;208
10;15000;150000;10858;96171;5,37;0,93;200
11;15000;165000;10071;106242;5,37;0,93;191
12;15000;180000;9394;115636;5,38;0,93;101
13;15000;195000;9493;125129;5,36;0,93;106
14;15000;210000;8859;133988;5,37;0,93;108
15;15000;225000;11049;145037;5,4;0,93;120
16;15000;240000;11259;156296;5,39;0,93;120
17;15000;255000;14604;170900;5,38;0,93;213
18;15000;270000;12708;183608;5,36;0,93;197
19;15000;285000;11004;194612;5,36;0,93;151
20;15000;300000;8370;202982;5,35;0,92;103
21;6241;306241;3588;206570;5,33;0,92;50
